"Class","sRGB","primaries","R","G","B","Hex"
"O5(V)","0.2436","0.2343","155","176","255","Hash9bb0ff"
"O6(V)","0.2492","0.2445","162","184","255","Hasha2b8ff"
"O7(V)","0.2451","0.2351","157","177","255","Hash9db1ff"
"O8(V)","0.2451","0.2351","157","177","255","Hash9db1ff"
"O9(V)","0.2437","0.2366","154","178","255","Hash9ab2ff"
"O9.5(V)","0.251","0.2472","164","186","255","Hasha4baff"
"B0(V)","0.2448","0.2362","156","178","255","Hash9cb2ff"
"B0.5(V)","0.253","0.2501","167","188","255","Hasha7bcff"
"B1(V)","0.2481","0.2424","160","182","255","Hasha0b6ff"
"B2(V)","0.2474","0.2395","160","180","255","Hasha0b4ff"
"B3(V)","0.2517","0.2472","165","185","255","Hasha5b9ff"
"B4(V)","0.2506","0.2453","164","184","255","Hasha4b8ff"
"B5(V)","0.2559","0.2546","170","191","255","Hashaabfff"
"B6(V)","0.2563","0.2522","172","189","255","Hashacbdff"
"B7(V)","0.2578","0.2555","173","191","255","Hashadbfff"
"B8(V)","0.2604","0.2603","177","195","255","Hashb1c3ff"
"B9(V)","0.2639","0.2642","181","198","255","Hashb5c6ff"
"A0(V)","0.2668","0.2686","185","201","255","Hashb9c9ff"
"A1(V)","0.2635","0.265","181","199","255","Hashb5c7ff"
"A2(V)","0.2677","0.2701","187","203","255","Hashbbcbff"
"A3(V)","0.2706","0.2752","191","207","255","Hashbfcfff"
"A5(V)","0.2786","0.2858","202","215","255","Hashcad7ff"
"A6(V)","0.2765","0.2825","199","212","255","Hashc7d4ff"
"A7(V)","0.2771","0.283","200","213","255","Hashc8d5ff"
"A8(V)","0.2864","0.2943","213","222","255","Hashd5deff"
"A9(V)","0.2901","0.2971","219","224","255","Hashdbe0ff"
"F0(V)","0.2932","0.3018","224","229","255","Hashe0e5ff"
"F2(V)","0.3012","0.3125","236","239","255","Hashecefff"
"F4(V)","0.2935","0.2993","224","226","255","Hashe0e2ff"
"F5(V)","0.3088","0.3209","248","247","255","Hashf8f7ff"
"F6(V)","0.306","0.3154","244","241","255","Hashf4f1ff"
"F7(V)","0.3075","0.3168","246","243","255","Hashf6f3ff"
"F8(V)","0.3147","0.324","255","247","252","Hashfff7fc"
"F9(V)","0.3149","0.3247","255","247","252","Hashfff7fc"
"G0(V)","0.3149","0.3257","255","248","252","Hashfff8fc"
"G1(V)","0.3172","0.3278","255","247","248","Hashfff7f8"
"G2(V)","0.3211","0.3323","255","245","242","Hashfff5f2"
"G4(V)","0.3293","0.3403","255","241","229","Hashfff1e5"
"G5(V)","0.326","0.3382","255","244","234","Hashfff4ea"
"G6(V)","0.3257","0.338","255","244","235","Hashfff4eb"
"G7(V)","0.3257","0.338","255","244","235","Hashfff4eb"
"G8(V)","0.3346","0.3445","255","237","222","Hashffedde"
"G9(V)","0.3352","0.3469","255","239","221","Hashffefdd"
"K0(V)","0.3352","0.3458","255","238","221","Hashffeedd"
"K1(V)","0.3603","0.3664","255","224","188","Hashffe0bc"
"K2(V)","0.3535","0.3597","255","227","196","Hashffe3c4"
"K3(V)","0.3555","0.3571","255","222","195","Hashffdec3"
