"id","hip","hd","hr","gl","bf","proper","ra","dec","dist","pmra","pmdec","rv","mag","absmag","spect","ci","x","y","z","vx","vy","vz","rarad","decrad","pmrarad","pmdecrad","bayer","flam","con","comp","comp_primary","base","lum","var","var_min","var_max"
67655,67869,120786,,"","","","13.901111",-68.505473,432.9004,-9.07,-3.65,0,7.91,-0.272,"B8/B9III",0.02,"-139.37604",-75.727408,-402.793292,"-2.82-06","2.013-05","-2.81-06","3.63930243123974","-1.19564606283737","-4.39726008263889-08","-1.7695699-08","",,"Cir",1,67655,"","111.892248195524","",,
117053,117420,223311,9014,"","","","23.809022",-6.380426,243.9024,1.42,-20.2,-21,6.09,-0.846,"K4III",1.452,"242.088567",-12.114006,-27.104713,"-2.388-05","2.88-06","-2.135-05","6.2331874492381","-0.111359441908176","6.88435426388889-09","-9.7932363-08","",,"Aqr",1,117053,"","189.84536566615","",,
62306,62501,,,"","","","12.807546",40.427418,237.5297,-50.33,8.28,0,10.85,3.971,"G8III",0.87,"-176.78846",-37.942628,154.034269,"-6.12-06","5.796-05","7.26-06","3.35300780394115","0.705591547247505","-2.44006725423611-07","4.0142572-08","",,"CVn",1,62306,"","2.24698410364016","",10.919,10.789
89692,89970,168495,,"","","","18.35718",-34.743633,167.2241,-8.59,-62.58,0,9.18,3.064,"G3/G5",0.674,"12.830401",-136.809442,-95.301926,"-9.63-06","2.814-05","-4.169-05","4.80589856260192","-0.606390786718509","-4.16454951597222-08","-3.03396401-07","",,"Sgr",1,89692,"","5.18083785071993","",,
46684,46817,82353,,"","","","9.540511",37.26126,487.8049,-19.52,-13.86,0,8.45,0.009,"A2",0.136,"-310.497216",233.063063,295.341679,"1.184-05","4.883-05","-2.609-05","2.49769993193823","0.65033167704221","-9.46356304444444-08","-6.7195176-08","",,"LMi",1,46684,"","86.3773746529184","",,
51317,51464,90859,,"","","","10.511594",56.569117,187.2659,-17.95,10.81,0,7.6,1.238,"K0III-IV",1.061,"-95.436516",39.192205,156.282948,"1.377-05","1.196-05","5.41-06","2.75192895753951","0.987317338573132","-8.70240556597222-08","5.2408358-08","",,"UMa",1,51317,"","27.84838407805","",,
103416,103748,199952,,"","","","21.023858",-32.895607,151.9757,-11.53,-2.26,0,6.86,0.951,"A3III/IV",0.16,"90.794409",-89.66724,-82.539533,"-6.61-06","-5.41-06","-1.4-06","5.5040331888836","-0.574136652871904","-5.58990173680555-08","-1.0956789-08","",,"Mic",1,103416,"","36.2743801476458","",,
98501,98816,191606,,"","","","20.067837",74.346341,230.9469,21.87,30.06,0,8.48,1.662,"F5",0.547,"32.110835",-53.404031,222.381146,"4.29-06","4.039-05","9.08-06","5.25374742775158","1.29758842918118","1.060287519375-07","1.45734992-07","",,"Dra",1,98501,"","18.8451674172155","",,
71227,71453,128207,5449,"","","","14.61226",-40.21158,147.4926,-22.67,-22.05,2,5.74,-0.104,"B8V",-0.112,"-87.305913",-71.164093,-95.22301,"-3.56-06","1.801-05","-1.336-05","3.82548081631146","-0.70182446638739","-1.09907261381944-07","-1.06901416-07","",,"Cen",1,71227,"","95.8517397685646","",,
18930,18977,25648,,"","","","4.066303",-6.05184,167.7852,34.13,-10.3,0,7.84,1.716,"A0",0.324,"80.904449",145.922693,-17.689298,"-2.471-05","1.269-05","-8.33-06","1.06455553783546","-0.105624525938329","1.65466909173611-07","-4.9935809-08","",,"Eri",1,18930,"","17.9308137708044","",,
