#time,velocity,error,chi2,#period,#phase,ID
0,0,0,0,0,0,1
0,211.6,15,1.293,1.006,0.8331,2
0.9227,235.5,15,1.543,1.023,0.9451,3
91.83,244.4,15,1.421,1.046,0.9827,4
92.84,304.5,15,1.421,1.058,1.105,5
60.89,326,15,1.421,1.058,1.226,6
28.96,301,15,1.421,1.058,1.349,7
86.75,301.8,15,1.725,1.058,1.366,8
87.81,256.4,15,0.7895,1.073,1.495,9
88.79,227.4,15,1.574,1.082,1.614,10
,,,1.525,1.099,,11
,,,1.598,1.099,,12
,,,1.598,1.153,,13
,,,1.527,1.153,,14
,,,1.527,1.167,,15
,,,0.7733,1.167,,16
,,,0.7733,1.182,,17
,,,0.7733,1.182,,18
,,,0.7733,1.182,,19
,,,0.7733,1.182,,20
,,,0.7733,1.182,,21
,,,1.368,1.182,,22
,,,1.109,1.186,,23
,,,1.619,1.23,,24
,,,1.619,1.251,,25
,,,1.619,1.251,,26
,,,1.776,1.251,,27
,,,1.398,1.257,,28
,,,1.398,1.283,,29
,,,1.398,1.283,,30
,,,1.398,1.283,,31
,,,1.398,1.283,,32
,,,1.398,1.283,,33
,,,1.641,1.283,,34
,,,1.643,1.341,,35
,,,1.546,1.349,,36
,,,1.369,1.372,,37
,,,1.356,1.373,,38
,,,1.356,1.373,,39
,,,1.356,1.373,,40
,,,1.356,1.373,,41
,,,1.504,1.373,,42
,,,1.557,1.375,,43
,,,1.614,1.375,,44
,,,1.115,1.394,,45
,,,1.575,1.439,,46
,,,1.575,1.454,,47
,,,1.575,1.454,,48
,,,1.575,1.454,,49
,,,1.575,1.454,,50
,,,1.575,1.454,,51
,,,1.575,1.454,,52
,,,1.575,1.454,,53
,,,1.564,1.454,,54
,,,1.806,1.462,,55
,,,1.446,1.5,,56
,,,1.446,1.528,,57
,,,1.695,1.528,,58
,,,1.755,1.541,,59
,,,0.8198,1.547,,60
,,,0.8198,1.595,,61
,,,0.8198,1.595,,62
,,,1.1,1.595,,63
,,,1.102,1.596,,64
,,,1.103,1.596,,65
,,,1.638,1.597,,66
,,,1.699,1.6,,67
,,,1.688,1.641,,68
