chi2,mass,radii,mdot,velocity,ID
0,0,0,0,0,1
6.305073,17.5,74.7,1.90E-05,1228,2
0,0,0,0,0,3
6.805073,17.5,74.7,1.90E-05,1228,4
6.820388,17.6,83.2,2.20E-05,1227,5
7.018239,17.5,74.7,1.83E-05,1184.237108,6
7.048867,17.6,83,2.20E-05,1221,7
7.12058,17.5,74.7,2.00E-05,1304,8
7.234567,17.5,74.7,1.89E-05,1223.803229,9
7.29031,17.5,73.8,1.70E-05,1080,10
7.534874,17.5,74.4,1.50E-05,905,11
7.748122,17.5,73.4,1.60E-05,1062,12
7.869377,17.6,83,1.80E-05,987,13
7.885006,17.5,74.7,1.60E-05,996,14
7.980201,17.5,73.4,1.50E-05,983,15
7.988125,17.5,74.4,1.70E-05,1090,16
8.072388,17.6,83.2,2.00E-05,1089,17
8.344658,17.6,83.2,1.82E-05,1027.319771,18
8.351343,17.5,74.7,1.88E-05,1208.680596,19
8.423521,17.5,74.7,1.40E-05,878,20
8.467126,17.5,73.4,1.70E-05,1061,21
8.471133,17.6,80.3,1.64E-05,919.0672481,22
8.515098,17.5,74.4,1.77E-05,1099.599745,23
8.66045,17.5,74.4,1.80E-05,1132,24
8.685417,17.6,80.8,2.10E-05,1192,25
8.744777,17.6,78.8,1.71E-05,1000.780721,26
8.780018,17.5,74.4,1.60E-05,973,27
8.821254,17.6,78.2,1.80E-05,1133,28
8.850394,17.6,78.2,1.96E-05,1158.617397,29
8.911921,17.6,84.4,1.72E-05,947.1807058,30
8.965508,17.6,83,1.90E-05,1075,31
8.970035,17.6,82.2,1.90E-05,1054,32
9.028766,17.5,73.4,1.60E-05,990.4063218,33
9.033965,17.6,82.4,1.90E-05,1030,34
9.038389,17.5,73.8,1.57E-05,1018.216359,35
9.117759,17.5,74.7,1.80E-05,1080,36
9.178726,17.5,76.4,1.80E-05,1078,37
9.182074,17.5,74.4,1.80E-05,1184,38
9.193155,17.5,75.3,1.60E-05,973,39
9.207306,17.5,73.8,1.80E-05,1087,40
9.21318,17.5,74.7,2.00E-05,1259,41
9.217794,17.6,81.6,1.66E-05,926.2189683,42
9.248066,17.5,76.4,2.10E-05,1324.356508,43
9.278825,17.5,74.4,1.40E-05,854,44
9.357309,17.5,75.3,1.50E-05,887,45
9.375162,17.6,80.8,2.00E-05,1139,46
9.430883,17.5,74.7,1.40E-05,840.2985202,47
9.44573,17.5,74.4,1.80E-05,1119,48
9.450633,17.6,80.3,2.00E-05,1157,49
9.488126,17.6,81.9,2.30E-05,1310,50
9.514951,17.6,81.9,1.70E-05,893,51
9.521851,17.5,73.8,1.70E-05,1095,52
9.530417,17.6,84.4,2.10E-05,1156,53
9.637399,17.6,80.8,1.83E-05,1066.721752,54
9.641561,17.6,81.9,2.20E-05,1328,55
9.668799,17.5,74.7,2.00E-05,1240,56
9.73586,17.5,74.4,2.30E-05,1537,57
9.946811,17.6,80.3,1.90E-05,1127,58
9.961179,17.6,83,1.65E-05,854.6394253,59
10.033778,17.6,81.9,1.90E-05,1073,60
10.07116,17.5,74.7,1.70E-05,1083,61
10.117228,17.6,80.3,1.61E-05,945.5585886,62
10.152108,17.5,75.3,2.15E-05,1439.09329,63
10.16401,17.5,75.3,1.90E-05,1174,64
10.361704,17.5,75.3,1.89E-05,1167.265439,65
10.434736,17.6,83,2.50E-05,1461,66
10.466673,17.5,74.4,1.70E-05,1055,67
10.655831,17.5,74.7,1.90E-05,1179,68
10.692892,17.5,74.4,1.60E-05,958,69
10.715431,17.6,82.4,1.77E-05,1009.85065,70
10.718119,17.5,74.7,1.90E-05,1190,71
